location,movement,r,p
center,running,-0.3311129317223309,1.1695997576709638e-10
center,trotting,-0.46147138755556616,2.1879591226895143e-20
center,walking,-0.2340429219877973,7.199981287618561e-06
center,climbing,0.13893904819152625,0.00829475407140379
center,rearing,0.14462557132949072,0.005977721465646132
wall,running,-0.1979750249432662,0.00015636583710324458
wall,trotting,-0.41364236243416386,2.595925050493391e-16
wall,walking,-0.5604149450084255,3.700410707586178e-31
wall,right_turning,-0.27579043734227643,1.0488873846241333e-07
wall,left_turning,-0.31209840446085146,1.4225280383542729e-09
wall,stepping,-0.26965837750443256,2.045394174489082e-07
wall,rearing,0.11085812894154098,0.03550471710959427
wall,rising,-0.19071037859343531,0.0002733294868200742
wall,sniffing,-0.1623663310413588,0.0019981790907559016
wall,grooming,0.15260065874772955,0.003703848599955158
wall,pausing,0.14386949619244158,0.006247929028078618
corner,trotting,-0.21529260105534298,3.8037578576917986e-05
corner,walking,-0.5086603615658527,4.366107310989092e-25
corner,right_turning,-0.1740875715373939,0.0009100424935608017
corner,left_turning,-0.3166089332231503,7.989424775207009e-10
corner,stepping,-0.3017992067348486,5.123067072911952e-09
corner,rearing,0.2936788556911031,1.3589355099921008e-08
corner,hunching,0.2784398983605186,7.819673040323677e-08
corner,grooming,0.3371974645521367,5.065634054370888e-11
corner,pausing,0.2706658692961833,1.83490084831805e-07
